street,company_name,lon,lat,landuse,county,subcounty,type
mombasa road,mombasa road industrial area,36.8915176,-1.3431107,industrial,nairobi city,langata,industry
unknown,aga khan field,36.8239658,-1.2604329,industrial,nairobi city,westlands,industry
unknown,unknown industry,36.8405195,-1.3033554,industrial,nairobi city,starehe,industry
unknown,unknown industry,36.8707526,-1.3044588,industrial,nairobi city,makadara,industry
unknown,unknown industry,36.8599662,-1.3187604,industrial,nairobi city,starehe,industry
landhies road,kenya power substation,36.835574,-1.2872028,industrial,nairobi city,starehe,industry
unknown,gateway ltd,36.8732819,-1.3182861,industrial,nairobi city,embakasi,industry
unknown,industiries,36.8849327,-1.3028303,industrial,nairobi city,embakasi,industry
unknown,unknown industry,36.8710652,-1.3085059,industrial,nairobi city,makadara,industry
unknown,unknown industry,36.8729363,-1.3204063,industrial,nairobi city,makadara,industry
unknown,industry,36.8481221,-1.3112406,industrial,nairobi city,embakasi,industry
unknown,industry,36.8472782,-1.3116437,industrial,nairobi city,embakasi,industry
unknown,industry,36.8468091,-1.3115209,industrial,nairobi city,starehe,industry
unknown,industry,36.8515068,-1.313299,industrial,nairobi city,starehe,industry
unknown,industry,36.8513839,-1.3131776,industrial,nairobi city,starehe,industry
unknown,industry,36.8419099,-1.3074443,industrial,nairobi city,starehe,industry
unknown,industry,36.8421203,-1.3071885,industrial,nairobi city,starehe,industry
unknown,bins (k) ltd,36.8680768,-1.3173966,industrial,nairobi city,starehe,industry
unknown,unknown industry,36.8697004,-1.3182205,industrial,nairobi city,starehe,industry
unknown,kartasi industries,36.860124,-1.3156594,industrial,nairobi city,embakasi,industry
unknown,industry,36.8419195,-1.3077248,industrial,nairobi city,embakasi,industry
unknown,unknown industry,36.8676419,-1.326976,industrial,nairobi city,embakasi,industry
unknown,unknown industry,36.8714566,-1.335243,industrial,nairobi city,embakasi,industry
unknown,unknown industry,36.8642703,-1.3243707,industrial,nairobi city,makadara,industry
unknown,unknown industry,36.866079,-1.3203186,industrial,nairobi city,starehe,industry
unknown,alpha fine foods,36.8591739,-1.319905,industrial,nairobi city,starehe,industry
unknown,unknown industry,36.8562881,-1.3178769,industrial,nairobi city,langata,industry
unknown,industrial area,36.8317325,-1.3007731,industrial,nairobi city,langata,industry
unknown,industrial area,36.8341336,-1.2995885,industrial,nairobi city,starehe,industry
unknown,industrial area,36.8309862,-1.3041788,industrial,nairobi city,starehe,industry
unknown,unknown industry,36.8676984,-1.3247015,industrial,nairobi city,starehe,industry
unknown,unknown industry,36.8651847,-1.324592,industrial,nairobi city,starehe,industry
unknown,unknown industry,36.8798925,-1.3384333,industrial,nairobi city,starehe,industry
unknown,unknown industry,36.8686784,-1.3322934,industrial,nairobi city,starehe,industry
unknown,unknown industry,36.8699181,-1.3315132,industrial,nairobi city,starehe,industry
