street,institution,lon,lat,amenity,county,subcounty,type
ICIPE Road,Regional Centre for Mapping of Resources for Development,36.89304,-1.2213849,college,Nairobi City,kasarani,institution
Unknown,University of Nairobi- Department of Architecture Design & Development,36.8126428,-1.2812971,university,Nairobi City,westlands,institution
Unknown,Kenya School of Monetary Studies,36.8669241,-1.2500769,college,Nairobi City,kasarani,institution
Unknown,Kenya Utalii College,36.8559336,-1.2580775,college,Nairobi City,kasarani,institution
Parklands Road,University Of Nairobi School of Law,36.8183407,-1.268365,university,Nairobi City,westlands,institution
Unknown,Kenya Water Institute,36.8242502,-1.3154371,college,Nairobi City,langata,institution
Unknown,Kenya Water Institute,36.8242502,-1.3154371,college,Nairobi City,langata,institution
Thika Road,Kenyatta University,36.9285627,-1.1806657,university,Nairobi City,kasarani,institution
Unknown,Strathmore Law School,36.8140362,-1.3106047,university,Nairobi City,langata,institution
Unknown,Strathmore Law School,36.8140362,-1.3106047,university,Nairobi City,langata,institution
Unknown,Strathmore University,36.8144927,-1.3098045,university,Nairobi City,langata,institution
Unknown,Strathmore University,36.8144927,-1.3098045,university,Nairobi City,langata,institution
Valley Road,"Daystar University, Nairobi Campus",36.8022321,-1.2971194,university,Nairobi City,westlands,institution
Unknown,University of Nairobi- College of Biological & Physical Sciences,36.8071515,-1.2736382,university,Nairobi City,westlands,institution
Moi Avenue,St. Paul's University,36.8277809,-1.2887394,university,Nairobi City,starehe,institution
Murang'a Road,Pioneer International University,36.8280376,-1.2721969,university,Nairobi City,starehe,institution
Unknown,Kabete Technical Training Institute,36.7263706,-1.2652271,college,Nairobi City,westlands,institution
Unknown,Animal Health and Training Institute,36.7253086,-1.2627659,college,Nairobi City,westlands,institution
Unknown,"Kenya Police Staff Training College, Loresho",36.7573695,-1.2526295,college,Nairobi City,westlands,institution
Langata South Road,Kenya School of Law,36.7496395,-1.3596805,university,Nairobi City,langata,institution
Langata South Road,Kenya School of Law,36.7496395,-1.3596805,university,Nairobi City,langata,institution
Unknown,University of Nairobi- Kenya Science Campus,36.7647693,-1.3018536,university,Nairobi City,kibra,institution
Shikanga,Kenya Institute of Mass Communication,36.8301438,-1.3106202,college,Nairobi City,starehe,institution
Unknown,Kenton College,36.7872153,-1.2791468,college,Nairobi City,westlands,institution
Unknown,KCB Management Centre,36.6932663,-1.3390794,college,Nairobi City,langata,institution
Unknown,KCB Management Centre,36.6932663,-1.3390794,college,Nairobi City,langata,institution
Unknown,Riara University,36.8068947,-1.3148986,university,Nairobi City,langata,institution
Unknown,Riara University,36.8068947,-1.3148986,university,Nairobi City,langata,institution
Thika Road,KCA University,36.8603759,-1.2529665,university,Nairobi City,kasarani,institution
Thika Road,Students Cafeteria,36.8603889,-1.2534696,university,Nairobi City,kasarani,institution
Unknown,Kenya Airways Pride Center,36.9167815,-1.3135272,college,Nairobi City,embakasi,institution
Ralph Bunche Road,University of Nairobi School of Dental Sciences,36.8047935,-1.2933343,university,Nairobi City,westlands,institution
Lowland Road,United States International University - Africa,36.8796907,-1.2136467,university,Nairobi City,kasarani,institution
Magadi Road,Multimedia University of Kenya,36.7680139,-1.3808751,university,Nairobi City,langata,institution
Magadi Road,Multimedia University of Kenya,36.7680139,-1.3808751,university,Nairobi City,langata,institution
Unknown,Kenya Medical Training College,36.8039816,-1.30064,college,Nairobi City,kibra,institution
Unknown,Kenya College of Insurance,36.8334587,-1.3275862,college,Nairobi City,langata,institution
Unknown,Kenya College of Insurance,36.8334587,-1.3275862,college,Nairobi City,langata,institution
Unknown,Institute of Energy Studies and Research,36.8573172,-1.2609316,college,Nairobi City,kasarani,institution
Lower Kabete Road,Kenya School of Government (KSG),36.7441388,-1.2381577,college,Nairobi City,westlands,institution
Unknown,University of Nairobi Veterinary Laboratory,36.7422768,-1.2485978,university,Nairobi City,westlands,institution
Unknown,JKUAT - Karen Campus,36.741197,-1.3558224,university,Nairobi City,langata,institution
Unknown,JKUAT - Karen Campus,36.741197,-1.3558224,university,Nairobi City,langata,institution
Unknown,The Co-operative University of Kenya Main Campus,36.7283853,-1.3674304,college,Nairobi City,langata,institution
