street,name,lon,lat,religion,county,subcounty,type
ngara road,hare krishna temple,36.817894,-1.273668,hindu,nairobi city,starehe,religion
seminary drive,st. thomas aquinas seminary,36.757835,-1.348756,christian,nairobi city,langata,religion
nyerere road,st. andrew's,36.813509,-1.282698,christian,nairobi city,westlands,religion
ring road parklands,oshwal religious centre,36.805639,-1.259929,hindu,nairobi city,westlands,religion
address unknown,regina caeli karen catholic church,36.710697,-1.325597,christian,nairobi city,langata,religion
langata road,citam karen,36.759204,-1.341563,christian,nairobi city,langata,religion
valley road,greek othrodox patriarchiate,36.80622,-1.291279,christian,nairobi city,westlands,religion
waiyaki way,consolata shrine,36.802996,-1.267366,christian,nairobi city,westlands,religion
university way,lutheran catherdral,36.814863,-1.282375,christian,nairobi city,westlands,religion
jahmuri road,nairobi chapel ngong road,36.754587,-1.30536,christian,nairobi city,kibra,religion
address unknown,main prayer hall,36.847929,-1.265133,muslim,nairobi city,mathare,religion
eastleigh 1st avenue,st.teresa catholic church,36.847387,-1.267283,christian,nairobi city,kamukunji,religion
nyeri road,holy trinity catholic church kileleshwa,36.780412,-1.282303,christian,nairobi city,westlands,religion
address unknown,faith home of kenya,36.878285,-1.25359,christian,nairobi city,mathare,religion
city hall way,holy family basilica,36.820736,-1.287221,christian,nairobi city,starehe,religion
kenyatta avenue,all saints cathedral,36.813508,-1.289336,christian,nairobi city,westlands,religion
ngong road,nairobi baptist church,36.800681,-1.29776,christian,nairobi city,westlands,religion
mbagathi way,saint lukes,36.803324,-1.307127,christian,nairobi city,kibra,religion
mbagathi way,madina centre mosque nairobi,36.802058,-1.302982,muslim,nairobi city,kibra,religion
5th avenue ngong,newlife sda church,36.807831,-1.294467,christian,nairobi city,westlands,religion
ngara road,hare krishna temple,36.818079,-1.273483,hindu,nairobi city,starehe,religion
kolobot road,jain shwetamber munisuvratswami temple,36.819218,-1.270808,hindu,nairobi city,starehe,religion
oshwal road,mahajanwadi temple.,36.819431,-1.270342,hindu,nairobi city,starehe,religion
address unknown,"sikh temple,pangani",36.833467,-1.269383,sikh,nairobi city,starehe,religion
murang'a road,nairobi headquarters jamatkhana,36.833263,-1.267655,hindu,nairobi city,starehe,religion
desai road,shree lohana mahajan mandal,36.829003,-1.270056,hindu,nairobi city,starehe,religion
address unknown,shree vishwakarma mandir nairobi,36.81888,-1.272259,hindu,nairobi city,starehe,religion
likoni road,makongeni seventh day adventist church,36.854415,-1.299289,christian,nairobi city,makadara,religion
likoni road,"aic church, makongeni",36.854996,-1.297853,christian,nairobi city,makadara,religion
jogoo road,st. stephens church,36.854999,-1.29559,christian,nairobi city,makadara,religion
langata road,citam karen,36.758722,-1.340239,christian,nairobi city,langata,religion
seminary drive,shrine of the sacred heart of jesus - karen,36.756822,-1.342413,christian,nairobi city,langata,religion
address unknown,st john the evangelist church,36.746093,-1.357214,christian,nairobi city,langata,religion
banda street,jamia mosque,36.820763,-1.283469,muslim,nairobi city,starehe,religion
