@id,addr:city,addr:street,landuse,name,@geometry,lon,lat,highway,surface,brand,operator,product,type,website,industrial,power,barrier,industrial:sector,industrial:sector_description,industrial:tertiary_sector_type,industrial:tertiary_sector_type_description,source,man_made,industrial:secondary_sector_type,building,recycling:cans,recycling:glass,recycling:paper,recycling:scrap_metal,fence_type,short_name,addr:housenumber,layer,phone,oneway,crossing:barrier,addr:postcode,pump,note,source_ref,email,shop,alt_name,contact:facebook,contact:twitter,survey:date,operational_status,operator:type
way/4723990,Nairobi,Mombasa Road,industrial,Mombasa Road Industrial Area,center,36.8915176,-1.3431107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/4775768,,,,Factory Street,center,36.8326862,-1.2948745,unclassified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/4775781,,,,Factory Street,center,36.8370528,-1.2900647,residential,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation/14738251,,,industrial,Nairobi Bottlers Limited,center,36.9196278,-1.3155496,,,coca cola; fanta; sprite; minute maid; dasani; keringet; schweppes,coca cola,soda; water,multipolygon,https://www.coca-cola.com/ke/en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation/19065606,,,industrial,De La Rue Kenya Limited,center,36.8649246,-1.2482712,,,,,,multipolygon,https://www.delarue.com/,factory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation/19133060,,,industrial,PZ Cussons East Africa Ltd.,center,36.8831567,-1.2426706,,,,,soap,multipolygon,https://www.pzcussons.com/,factory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation/19168382,,,industrial,,center,36.9068738,-1.3182167,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation/19168390,,,industrial,SIGINON Group,center,36.9044233,-1.3515122,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation/19168391,,,industrial,Saku Industrial Park,center,36.9042389,-1.3510657,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/25473015,,,industrial,aga khan field,center,36.8239658,-1.2604329,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/26603437,,,industrial,,center,36.8405195,-1.3033554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
