@id,addr:street,amenity,name,lon,lat,operator,operator:type
relation/16508293,ICIPE Road,college,Regional Centre for Mapping of Resources for Development,36.89304,-1.2213849,,
relation/19046123,,university,University of Nairobi- Department of Architecture Design & Development,36.8126428,-1.2812971,University of Nairobi,public
relation/19065605,,college,Kenya School of Monetary Studies,36.8669241,-1.2500769,,
relation/19068627,,college,Kenya Utalii College,36.8559336,-1.2580775,,
relation/19083779,Parklands Road,university,University Of Nairobi School of Law,36.8183407,-1.268365,,
node/30092226,,college,Kenya Water Institute,36.8242502,-1.3154371,,
way/97810177,Thika Road,university,Kenyatta University,36.9285627,-1.1806657,,
way/105267053,,university,Strathmore Law School,36.8140362,-1.3106047,Strathmore University,
way/105267819,,university,Strathmore University,36.8144927,-1.3098045,,
way/105276607,Valley Road,university,"Daystar University, Nairobi Campus",36.8022321,-1.2971194,,
way/106088773,,university,University of Nairobi- College of Biological & Physical Sciences,36.8071515,-1.2736382,University of Nairobi,government
way/123458424,Moi Avenue,university,St. Paul's University,36.8277809,-1.2887394,,
way/129542704,Murang'a Road,university,Pioneer International University,36.8280376,-1.2721969,,
way/199111489,,college,Kabete Technical Training Institute,36.7263706,-1.2652271,,
way/199111491,,college,Animal Health and Training Institute,36.7253086,-1.2627659,Kabete College of Veterinary Services,
way/232010700,,college,"Kenya Police Staff Training College, Loresho",36.7573695,-1.2526295,,
way/237534138,Langata South Road,university,Kenya School of Law,36.7496395,-1.3596805,,
way/239421042,,university,University of Nairobi- Kenya Science Campus,36.7647693,-1.3018536,University of Nairobi,public
way/247137550,Shikanga,college,Kenya Institute of Mass Communication,36.8301438,-1.3106202,,
way/247773482,,college,Kenton College,36.7872153,-1.2791468,,
way/261016849,,college,KCB Management Centre,36.6932663,-1.3390794,,
way/267025761,,university,Riara University,36.8068947,-1.3148986,,
way/267388416,Thika Road,university,KCA University,36.8603759,-1.2529665,,
way/267398337,Thika Road,university,Students Cafeteria,36.8603889,-1.2534696,,
way/267620805,,college,Kenya Airways Pride Center,36.9167815,-1.3135272,,
way/314453327,Ralph Bunche Road,university,University of Nairobi School of Dental Sciences,36.8047935,-1.2933343,,
way/321620567,Lowland Road,university,United States International University - Africa,36.8796907,-1.2136467,Private University,
way/419034193,Magadi Road,university,Multimedia University of Kenya,36.7680139,-1.3808751,,
way/419073385,,college,Kenya Medical Training College,36.8039816,-1.30064,,
way/456332444,,college,Kenya College of Insurance,36.8334587,-1.3275862,,
way/476890347,,college,Institute of Energy Studies and Research,36.8573172,-1.2609316,,
way/552189398,Lower Kabete Road,college,Kenya School of Government (KSG),36.7441388,-1.2381577,,
