@id,addr:city,addr:street,amenity,building,name,religion,type,@geometry,lon,lat,area,wikidata,wikipedia,denomination,check_date,fixme,from,public_transport:version,ref,route,to,highway,oneway,surface,maxspeed,alt_name,ele,toilets:wheelchair,wheelchair,addr:housenumber,addr:postcode,FIXME,phone,website,image,basilica,description,name:fr,name:it,landuse,opening_hours,watsan:dumping_site,watsan:location,watsan:open_defecation_area,barrier,service_times,source,addr:country,fax,building:levels,name:de,name:grc,healthcare,subdenomination,incline,service,boundary_type:ward_boundary,operational_status:electricity,polling_station,polling_station:accessibility,polling_station:election_year,polling_station:nearest_health_centre,polling_station:nearest_police_station,polling_station:registered_voters,polling_station:type_description,operator,layer,atm,brand,brand:ar,brand:en,brand:ur,brand:wikidata,name:ar,name:en,name:ur,accessibility_pwd,facility_owner,status,name:pa,contact:phone,note,media:video_device_number,media:video_number,security:description,health_facility:patients_per_day,health_facility:type,operational_status,operator:type,social_facility,notes,health_facility:referals,medical_service:general_medical_services,medical_service:outpatient,medical_staff:general_practitioner,shop,leisure,covered,accessibility,building:material,building:roof,contact:address,education:bom_employed,education:bom_how_many,education:curriculum,education:exam_affiliate,education:exam_center,education:extra_drama,education:extra_music,education:extra_scouts,education:extra_sports,education:fees_admission,education:fees_level2,education:gender_type,education:government_registered,education:management_committee,education:program_counseling,education:program_counselling,education:program_feeding,education:program_sanitary_towel,education:program_scouting,education:program_specialneeds,education:program_sports,education:pta,education:school_head,education:staff_female,education:staff_male,education:student_age_range,education:students,education:students_female,education:students_male,education:teachers,education:teachers_female,education:teachers_male,education:teachers_trained,education:teachers_tsc_registered,education:teachers_undergoing_training,education:tsc_employed,education:tsc_how_many,education:type,electricity:operational_status,image:classroom,image:compound,image:other,image:outside,media:camera_device_number,operator:name,place:village,toilet:present,contact:email,education:fees,education:program_other,education:teachers_untrained,education:fees_exam,education:fees_level1,education:fees_per_year,education:teachers_under_going_training,education:fees_level3,education:fees_lunch,education:fees_optional,education:fees_trip,education:program_special_needs,operator:description,health_facility:exam_room,medical_service:ear_nose_throat,medical_service:malaria,medical_service:minor_surgery,medical_staff:clinical_officer,medical_staff:community_pharmacist,medical_staff:counsellor,medical_staff:lab_tech,medical_staff:medical_officer,medical_staff:midwife,medical_staff:nurse,medical_staff:other,medical_staff:pharm_tech,medical_staff:pharmacist,access,hoops,sport,source_ref,email,building:blocks,building:classrooms,education:government_grants,education:nemis_code,education:num_classes,education:operate_as,education:program_feeding_description,education:program_orphans,playground,toilet:teachers,toilets,toilets:female,toilets:handwashing,toilets:male,water_source,bicycle,dog,foot,ford,horse,motor_vehicle,smoothness,stroller,width,watsan:cleaner,watsan:connection,watsan:features_per_location,watsan:handwashing,watsan:toilet_private,watsan:type,watsan:users_per_day,watsan:water_availability,watsan:water_private,addr:place,roof:colour,landuse:urban_green,natural,urban_green:cultivation,urban_green:cultivation_consumer_description,urban_green:cultivation_sale,urban_green:cultivation_supplies_purchase,urban_green:fence,urban_green:number_of_caretakers,urban_green:owner_distance,urban_green:owner_hours_week,watsan:urban_agriculture,dispensing,tourism,name:sw,wifi,boundary_type:Ward_boundary,polling_station:source,polling_station:type,designation,local_ref,contact:mobile,cost,media:camera_number,watsan:hand_washing,watsan:opening_hours,watsan:operational_status,watsan:operator,watsan:toilet_status,watsan:toilet_type,medical_service:family_planning,medical_service:pregnancy_test,toilet:arranged_name,barrier:gate,education:extra_scouts:girl_guide,education:fees_per_term,education:supported_by,start_date,toilets:teachers,waste:garbage_disposal,watsan:availability,protected,safe_place:acessible,safe_place:church,safe_place:compound,safe_place:protected,safe_place:mosque,fireplace,contact:website,automated,self_service,community,community:en,community:gender,education:mean_score,image:sign_post,education:extra_other,education:fees_other,barrier:security_fence,education:extra_nature_club,education:extra_scouts/girl_guide,education:sponsored_by,government:registered,playground:arranged_name,room:staff,condition,operator:funding,bus,public_transport,beds,charge,drinking_water,fee,operational_status:availability,disused:amenity,toilets:num_chambers,watsan:bathroom,watsan:sanitary_bin,grades,toilets:position,boundary_type:Constituency_boundary,polling_station:Election_year,registered_voters,bench,bin,lit,shelter,internet_access,payment:cards,payment:credit_cards,payment:debit_cards,altitude,precision,outdoor_seating,payment:cash,man_made,addr:constituency,addr:district,addr:division,addr:location,isced:level,note:code,school:gender,capacity,gender,addr:county
relation/1862843,Nairobi,Ngara Road,place_of_worship,yes,Hare Krishna Temple,hindu,multipolygon,center,36.8178942,-1.2736681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation/13524286,,,,,Catholic University of East Africa,,multipolygon,center,36.7543805,-1.3511565,yes,Q1736407,en:Catholic University of Eastern Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation/13995868,Nairobi,Seminary Drive,place_of_worship,yes,St. Thomas Aquinas Seminary,christian,multipolygon,center,36.7578352,-1.348756,,,,catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation/14115494,Nairobi,Nyerere Road,place_of_worship,yes,St. Andrew's,christian,multipolygon,center,36.8135087,-1.2826981,,,,protestant,5/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation/14772775,,,,,Church Army-Biafra-Joster,,route,center,36.8521561,-1.2886985,,,,,,add tags,Mol Air Army,2,6E,bus,Church Army,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation/14772791,,,,,Church Army-Biafra-Joster,,route,center,36.8522256,-1.2887883,,,,,,add tags,Church Army,2,6E,bus,Joster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation/16390948,,,school,,Church Army Academy & Junior Secondary School,,multipolygon,center,36.8533634,-1.2939546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation/17419441,,,,,Ledec Church,,site,center,36.9765036,-1.2573138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/23754548,,,,,Church Road,,,center,36.7879132,-1.2633546,,,,,,,,,,,,residential,no,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/23754648,,,,,East Church Road,,,center,36.7940665,-1.2658215,,,,,,,,,,,,residential,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
